Designator,Mid X,Mid Y,Rotation,Layer
C1,83.02,-47.0,0.0,Top
C2,83.02,-46.0,0.0,Top
C3,72.98,-57.25,180.0,Top
C4,72.98,-59.0,180.0,Top
C5,74.5,-49.23,-90.0,Top
C6,85.02,-59.75,0.0,Top
C7,79.5,-67.23,90.0,Top
C8,72.98,-47.75,180.0,Top
C9,73.02,-46.75,180.0,Top
C10,78.0,-67.27,90.0,Top
C11,83.02,-48.0,0.0,Top
C12,84.98,-55.0,0.0,Top
C13,85.0,-43.275,90.0,Top
C14,83.5,-43.275,90.0,Top
C15,81.0,-61.09,90.0,Top
C16,75.8,-61.09,-90.0,Top
C17,78.25,-34.73,90.0,Top
C18,82.52,-36.0,0.0,Top
C19,81.0,-67.48,90.0,Top
D1,73.5,-63.7875,-90.0,Top
D2,83.875,-65.75,90.0,Top
J1,79.0,-24.0,180.0,Top
J2,70.11,-22.87,0.0,Top
J3,87.89,-22.87,0.0,Top
J4,76.46,-71.13,90.0,Top
R1,74.75,-39.24,90.0,Top
R2,72.5,-45.01,90.0,Top
R3,80.85,-48.0,-90.0,Top
R4,79.5,-47.99,-90.0,Top
R5,79.49,-58.57,0.0,Top
R6,72.99,-36.0,0.0,Top
R7,75.49,-36.0,0.0,Top
R8,76.0,-65.75,-90.0,Top
R9,84.99,-36.0,0.0,Top
SW1,74.0,-32.1,90.0,Top
SW2,84.0,-32.1,-90.0,Top
U1,79.0,-53.3,0.0,Top
U2,79.4625,-32.0375,0.0,Top
U3,78.545,-41.8375,-90.0,Top
U5,83.95,-39.3625,90.0,Top
Y1,78.4,-60.92,0.0,Top
